data,scorecard
"May 30, 2008, 1st Semi-Final, Daredevils vs Royals
Royals won by 105 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-1st-semi-final-336038/full-scorecard
"May 24, 2008, 50th match, Daredevils vs Mumbai
Daredevils won by 5 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-mumbai-indians-50th-match-336032/full-scorecard
"May 22, 2008, 47th match, Daredevils vs KKR
Match abandoned without a ball bowled",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-kolkata-knight-riders-47th-match-336030/full-scorecard
"May 19, 2008, 43rd match, Daredevils vs RCB
Daredevils won by 5 wickets (with 10 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-delhi-daredevils-43rd-match-336026/full-scorecard
"May 17, 2008, 40th match, Daredevils vs Kings XI
Kings XI won by 6 runs (D/L method)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-kings-xi-punjab-40th-match-336022/full-scorecard
"May 15, 2008, 37th match, Daredevils vs Chargers
Daredevils won by 12 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-deccan-chargers-37th-match-336020/full-scorecard
"May 13, 2008, 35th match, Daredevils vs KKR
KKR won by 23 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-delhi-daredevils-35th-match-336017/full-scorecard
"May 11, 2008, 33rd match, Daredevils vs Royals
Royals won by 3 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-delhi-daredevils-33rd-match-336015/full-scorecard
"May 08, 2008, 28th match, Daredevils vs Super Kings
Super Kings won by 4 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-chennai-super-kings-28th-match-336009/full-scorecard
"May 04, 2008, 23rd match, Daredevils vs Mumbai
Mumbai won by 29 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-delhi-daredevils-23rd-match-336004/full-scorecard
"May 02, 2008, 20th match, Daredevils vs Super Kings
Daredevils won by 8 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-delhi-daredevils-20th-match-336001/full-scorecard
"April 30, 2008, 17th match, Daredevils vs RCB
Daredevils won by 10 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998/full-scorecard
"April 27, 2008, 13th match, Daredevils vs Kings XI
Kings XI won by 4 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-delhi-daredevils-13th-match-335995/full-scorecard
"April 22, 2008, 7th match, Daredevils vs Chargers
Daredevils won by 9 wickets (with 42 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/deccan-chargers-vs-delhi-daredevils-7th-match-335988/full-scorecard
"April 19, 2008, 3rd match, Daredevils vs Royals
Daredevils won by 9 wickets (with 29 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
