data,scorecard
"June 01, 2008, Final, Royals vs Super Kings
Royals won by 3 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-rajasthan-royals-final-336040/full-scorecard
"May 30, 2008, 1st Semi-Final, Royals vs Daredevils
Royals won by 105 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-1st-semi-final-336038/full-scorecard
"May 28, 2008, 56th match, Royals vs Kings XI
Kings XI won by 41 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-rajasthan-royals-56th-match-336019/full-scorecard
"May 26, 2008, 53rd match, Royals vs Mumbai
Royals won by 5 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-mumbai-indians-53rd-match-336036/full-scorecard
"May 24, 2008, 49th match, Royals vs Super Kings
Royals won by 10 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-rajasthan-royals-49th-match-336033/full-scorecard
"May 20, 2008, 44th match, Royals vs KKR
Royals won by 6 wickets (with 21 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027/full-scorecard
"May 17, 2008, 39th match, Royals vs RCB
Royals won by 65 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-royal-challengers-bangalore-39th-match-336023/full-scorecard
"May 11, 2008, 33rd match, Royals vs Daredevils
Royals won by 3 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-delhi-daredevils-33rd-match-336015/full-scorecard
"May 09, 2008, 30th match, Royals vs Chargers
Royals won by 8 wickets (with 24 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-deccan-chargers-30th-match-336011/full-scorecard
"May 07, 2008, 27th match, Royals vs Mumbai
Mumbai won by 7 wickets (with 29 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-rajasthan-royals-27th-match-336008/full-scorecard
"May 04, 2008, 24th match, Royals vs Super Kings
Royals won by 8 wickets (with 34 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-chennai-super-kings-24th-match-336005/full-scorecard
"May 01, 2008, 18th match, Royals vs KKR
Royals won by 45 runs",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kolkata-knight-riders-18th-match-336000/full-scorecard
"April 26, 2008, 12th match, Royals vs RCB
Royals won by 7 wickets (with 17 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-rajasthan-royals-12th-match-335992/full-scorecard
"April 24, 2008, 9th match, Royals vs Chargers
Royals won by 3 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/deccan-chargers-vs-rajasthan-royals-9th-match-335990/full-scorecard
"April 21, 2008, 6th match, Royals vs Kings XI
Royals won by 6 wickets (with 11 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-kings-xi-punjab-6th-match-335987/full-scorecard
"April 19, 2008, 3rd match, Royals vs Daredevils
Daredevils won by 9 wickets (with 29 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-3rd-match-335984/full-scorecard
