data,scorecard
"April 19, 2010, 56th match, KKR vs Mumbai
KKR won by 9 wickets (with 15 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-mumbai-indians-56th-match-419161/full-scorecard
"April 17, 2010, 53rd match, KKR vs Royals
KKR won by 8 wickets (with 23 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-rajasthan-royals-53rd-match-419158/full-scorecard
"April 13, 2010, 48th match, KKR vs Super Kings
Super Kings won by 9 wickets (with 39 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/chennai-super-kings-vs-kolkata-knight-riders-48th-match-419153/full-scorecard
"April 10, 2010, 43rd match, KKR vs RCB
RCB won by 7 wickets (with 17 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/royal-challengers-bangalore-vs-kolkata-knight-riders-43rd-match-419148/full-scorecard
"April 07, 2010, 39th match, KKR vs Daredevils
KKR won by 14 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-delhi-daredevils-39th-match-419144/full-scorecard
"April 04, 2010, 34th match, KKR vs Kings XI
Kings XI won by 8 wickets (with 10 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-kings-xi-punjab-34th-match-419139/full-scorecard
"April 01, 2010, 30th match, KKR vs Chargers
KKR won by 24 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-deccan-chargers-30th-match-419135/full-scorecard
"March 29, 2010, 26th match, KKR vs Daredevils
Daredevils won by 40 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/delhi-daredevils-vs-kolkata-knight-riders-26th-match-419131/full-scorecard
"March 27, 2010, 23rd match, KKR vs Kings XI
KKR won by 39 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kings-xi-punjab-vs-kolkata-knight-riders-23rd-match-419127/full-scorecard
"March 22, 2010, 17th match, KKR vs Mumbai
Mumbai won by 7 wickets (with 9 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-kolkata-knight-riders-17th-match-419122/full-scorecard
"March 20, 2010, 13th match, KKR vs Royals
Royals won by 34 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/rajasthan-royals-vs-kolkata-knight-riders-13th-match-419118/full-scorecard
"March 16, 2010, 8th match, KKR vs Super Kings
Super Kings won by 55 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-chennai-super-kings-8th-match-419113/full-scorecard
"March 14, 2010, 4th match, KKR vs RCB
KKR won by 7 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-royal-challengers-bangalore-4th-match-419109/full-scorecard
"March 12, 2010, 1st match, KKR vs Chargers
KKR won by 11 runs",https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/deccan-chargers-vs-kolkata-knight-riders-1st-match-419106/full-scorecard
