data,scorecard
"May 18, 2011, 64th match, Kochi vs Super Kings
Super Kings won by 11 runs",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-kochi-tuskers-kerala-64th-match-501261/full-scorecard
"May 15, 2011, 61st match, Kochi vs Royals
Kochi won by 8 wickets (with 76 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-rajasthan-royals-61st-match-501258/full-scorecard
"May 13, 2011, 57th match, Kochi vs Kings XI
Kings XI won by 6 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-kings-xi-punjab-57th-match-501254/full-scorecard
"May 08, 2011, 50th match, Kochi vs RCB
RCB won by 9 wickets (with 41 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kochi-tuskers-kerala-50th-match-501247/full-scorecard
"May 05, 2011, 45th match, Kochi vs KKR
Kochi won by 17 runs",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-kolkata-knight-riders-45th-match-501242/full-scorecard
"May 02, 2011, 41st match, Kochi vs Daredevils
Kochi won by 7 wickets (with 30 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238/full-scorecard
"April 30, 2011, 36th match, Kochi vs Daredevils
Daredevils won by 38 runs",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-delhi-daredevils-36th-match-501233/full-scorecard
"April 27, 2011, 32nd match, Kochi vs Chargers
Chargers won by 55 runs",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229/full-scorecard
"April 24, 2011, 28th match, Kochi vs Royals
Royals won by 8 wickets (with 35 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/rajasthan-royals-vs-kochi-tuskers-kerala-28th-match-501225/full-scorecard
"April 20, 2011, 22nd match, Kochi vs KKR
Kochi won by 6 runs",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219/full-scorecard
"April 18, 2011, 18th match, Kochi vs Super Kings
Kochi won by 7 wickets (with 12 balls remaining) (D/L method)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-chennai-super-kings-18th-match-501215/full-scorecard
"April 15, 2011, 13th match, Kochi vs Mumbai
Kochi won by 8 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/mumbai-indians-vs-kochi-tuskers-kerala-13th-match-501210/full-scorecard
"April 13, 2011, 10th match, Kochi vs Warriors
Warriors won by 4 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/pune-warriors-vs-kochi-tuskers-kerala-10th-match-501207/full-scorecard
"April 09, 2011, 3rd match, Kochi vs RCB
RCB won by 6 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-royal-challengers-bangalore-3rd-match-501200/full-scorecard
