data,scorecard
"May 20, 2012, 71st match, Chargers vs RCB
Chargers won by 9 runs",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-royal-challengers-bangalore-71st-match-548376/full-scorecard
"May 18, 2012, 68th match, Chargers vs Royals
Chargers won by 5 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-rajasthan-royals-68th-match-548373/full-scorecard
"May 13, 2012, 61st match, Chargers vs Kings XI
Kings XI won by 4 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/kings-xi-punjab-vs-deccan-chargers-61st-match-548366/full-scorecard
"May 10, 2012, 55th match, Chargers vs Daredevils
Daredevils won by 9 wickets (with 20 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-delhi-daredevils-55th-match-548329/full-scorecard
"May 08, 2012, 53rd match, Chargers vs Kings XI
Kings XI won by 25 runs",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-kings-xi-punjab-53rd-match-548359/full-scorecard
"May 06, 2012, 50th match, Chargers vs RCB
RCB won by 5 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/royal-challengers-bangalore-vs-deccan-chargers-50th-match-548356/full-scorecard
"May 04, 2012, 46th match, Chargers vs Super Kings
Super Kings won by 10 runs",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/chennai-super-kings-vs-deccan-chargers-46th-match-548352/full-scorecard
"May 01, 2012, 42nd match, Chargers vs Warriors
Chargers won by 13 runs",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-pune-warriors-42nd-match-548348/full-scorecard
"April 29, 2012, 40th match, Chargers vs Mumbai
Mumbai won by 5 wickets (with 11 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/mumbai-indians-vs-deccan-chargers-40th-match-548346/full-scorecard
"April 26, 2012, 35th match, Chargers vs Warriors
Chargers won by 18 runs",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-deccan-chargers-35th-match-548341/full-scorecard
"April 24, 2012, 32nd match, Chargers vs KKR
Match abandoned without a ball bowled",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/kolkata-knight-riders-vs-deccan-chargers-32nd-match-548338/full-scorecard
"April 22, 2012, 29th match, Chargers vs KKR
KKR won by 5 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-kolkata-knight-riders-29th-match-548335/full-scorecard
"April 19, 2012, 23rd match, Chargers vs Daredevils
Daredevils won by 5 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-deccan-chargers-23rd-match-548321/full-scorecard
"April 17, 2012, 20th match, Chargers vs Royals
Royals won by 5 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/rajasthan-royals-vs-deccan-chargers-20th-match-548326/full-scorecard
"April 09, 2012, 9th match, Chargers vs Mumbai
Mumbai won by 5 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-mumbai-indians-9th-match-548314/full-scorecard
"April 07, 2012, 6th match, Chargers vs Super Kings
Super Kings won by 74 runs",https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-chennai-super-kings-6th-match-548311/full-scorecard
