data,scorecard
"May 19, 2013, 71st match, Warriors vs Daredevils
Warriors won by 38 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-delhi-daredevils-71st-match-598067/full-scorecard
"May 15, 2013, 65th match, Warriors vs KKR
Warriors won by 7 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kolkata-knight-riders-vs-pune-warriors-65th-match-598061/full-scorecard
"May 11, 2013, 58th match, Warriors vs Mumbai
Mumbai won by 5 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-mumbai-indians-58th-match-598055/full-scorecard
"May 09, 2013, 56th match, Warriors vs KKR
KKR won by 46 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-kolkata-knight-riders-56th-match-598053/full-scorecard
"May 05, 2013, 50th match, Warriors vs Royals
Royals won by 5 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-pune-warriors-50th-match-598047/full-scorecard
"May 02, 2013, 46th match, Warriors vs RCB
RCB won by 17 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-royal-challengers-bangalore-46th-match-598042/full-scorecard
"April 30, 2013, 42nd match, Warriors vs Super Kings
Super Kings won by 37 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-chennai-super-kings-42nd-match-598038/full-scorecard
"April 28, 2013, 39th match, Warriors vs Daredevils
Daredevils won by 15 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/delhi-daredevils-vs-pune-warriors-39th-match-598035/full-scorecard
"April 23, 2013, 31st match, Warriors vs RCB
RCB won by 130 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-pune-warriors-31st-match-598027/full-scorecard
"April 21, 2013, 29th match, Warriors vs Kings XI
Kings XI won by 7 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kings-xi-punjab-vs-pune-warriors-29th-match-598025/full-scorecard
"April 17, 2013, 22nd match, Warriors vs Sunrisers
Sunrisers won by 11 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-sunrisers-hyderabad-22nd-match-598018/full-scorecard
"April 15, 2013, 19th match, Warriors vs Super Kings
Warriors won by 24 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-pune-warriors-19th-match-598015/full-scorecard
"April 13, 2013, 15th match, Warriors vs Mumbai
Mumbai won by 41 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/mumbai-indians-vs-pune-warriors-15th-match-598011/full-scorecard
"April 11, 2013, 13th match, Warriors vs Royals
Warriors won by 7 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-rajasthan-royals-13th-match-598009/full-scorecard
"April 07, 2013, 6th match, Warriors vs Kings XI
Kings XI won by 8 wickets (with 46 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-kings-xi-punjab-6th-match-598003/full-scorecard
"April 05, 2013, 3rd match, Warriors vs Sunrisers
Sunrisers won by 22 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-pune-warriors-3rd-match-598000/full-scorecard
