data,scorecard
"May 18, 2013, 70th match, RCB vs Super Kings
RCB won by 24 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-chennai-super-kings-70th-match-598068/full-scorecard
"May 14, 2013, 63rd match, RCB vs Kings XI
Kings XI won by 7 wickets (with 11 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-kings-xi-punjab-63rd-match-598045/full-scorecard
"May 12, 2013, 60th match, RCB vs KKR
KKR won by 5 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kolkata-knight-riders-vs-royal-challengers-bangalore-60th-match-598057/full-scorecard
"May 10, 2013, 57th match, RCB vs Daredevils
RCB won by 4 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/delhi-daredevils-vs-royal-challengers-bangalore-57th-match-598054/full-scorecard
"May 06, 2013, 51st match, RCB vs Kings XI
Kings XI won by 6 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kings-xi-punjab-vs-royal-challengers-bangalore-51st-match-598064/full-scorecard
"May 02, 2013, 46th match, RCB vs Warriors
RCB won by 17 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-royal-challengers-bangalore-46th-match-598042/full-scorecard
"April 29, 2013, 40th match, RCB vs Royals
Royals won by 4 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-royal-challengers-bangalore-40th-match-598036/full-scorecard
"April 27, 2013, 37th match, RCB vs Mumbai
Mumbai won by 58 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/mumbai-indians-vs-royal-challengers-bangalore-37th-match-598033/full-scorecard
"April 23, 2013, 31st match, RCB vs Warriors
RCB won by 130 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-pune-warriors-31st-match-598027/full-scorecard
"April 20, 2013, 27th match, RCB vs Royals
RCB won by 7 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-rajasthan-royals-27th-match-598023/full-scorecard
"April 16, 2013, 21st match, RCB vs Daredevils
Match tied (RCB won the one-over eliminator)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-delhi-daredevils-21st-match-598017/full-scorecard
"April 13, 2013, 16th match, RCB vs Super Kings
Super Kings won by 4 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-royal-challengers-bangalore-16th-match-598012/full-scorecard
"April 11, 2013, 12th match, RCB vs KKR
RCB won by 8 wickets (with 15 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-kolkata-knight-riders-12th-match-598008/full-scorecard
"April 09, 2013, 9th match, RCB vs Sunrisers
RCB won by 7 wickets (with 14 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-sunrisers-hyderabad-9th-match-598048/full-scorecard
"April 07, 2013, 7th match, RCB vs Sunrisers
Match tied (Sunrisers won the one-over eliminator)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-royal-challengers-bangalore-7th-match-598004/full-scorecard
"April 04, 2013, 2nd match, RCB vs Mumbai
RCB won by 2 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-mumbai-indians-2nd-match-597999/full-scorecard
