data,scorecard
"May 22, 2013, Eliminator, Sunrisers vs Royals
Royals won by 4 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-sunrisers-hyderabad-eliminator-598071/full-scorecard
"May 19, 2013, 72nd match, Sunrisers vs KKR
Sunrisers won by 5 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-kolkata-knight-riders-72nd-match-598069/full-scorecard
"May 17, 2013, 68th match, Sunrisers vs Royals
Sunrisers won by 23 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-rajasthan-royals-68th-match-598065/full-scorecard
"May 13, 2013, 62nd match, Sunrisers vs Mumbai
Mumbai won by 7 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/mumbai-indians-vs-sunrisers-hyderabad-62nd-match-598060/full-scorecard
"May 11, 2013, 59th match, Sunrisers vs Kings XI
Sunrisers won by 30 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kings-xi-punjab-vs-sunrisers-hyderabad-59th-match-598056/full-scorecard
"May 08, 2013, 54th match, Sunrisers vs Super Kings
Super Kings won by 77 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-chennai-super-kings-54th-match-598051/full-scorecard
"May 04, 2013, 48th match, Sunrisers vs Daredevils
Sunrisers won by 6 wickets (with 37 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-delhi-daredevils-48th-match-598044/full-scorecard
"May 01, 2013, 43rd match, Sunrisers vs Mumbai
Sunrisers won by 7 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-mumbai-indians-43rd-match-598039/full-scorecard
"April 27, 2013, 36th match, Sunrisers vs Royals
Royals won by 8 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/rajasthan-royals-vs-sunrisers-hyderabad-36th-match-598032/full-scorecard
"April 25, 2013, 34th match, Sunrisers vs Super Kings
Super Kings won by 5 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/chennai-super-kings-vs-sunrisers-hyderabad-34th-match-598030/full-scorecard
"April 19, 2013, 25th match, Sunrisers vs Kings XI
Sunrisers won by 5 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-kings-xi-punjab-25th-match-598021/full-scorecard
"April 17, 2013, 22nd match, Sunrisers vs Warriors
Sunrisers won by 11 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/pune-warriors-vs-sunrisers-hyderabad-22nd-match-598018/full-scorecard
"April 14, 2013, 17th match, Sunrisers vs KKR
KKR won by 48 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/kolkata-knight-riders-vs-sunrisers-hyderabad-17th-match-598013/full-scorecard
"April 12, 2013, 14th match, Sunrisers vs Daredevils
Sunrisers won by 3 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/delhi-daredevils-vs-sunrisers-hyderabad-14th-match-598010/full-scorecard
"April 09, 2013, 9th match, Sunrisers vs RCB
RCB won by 7 wickets (with 14 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/royal-challengers-bangalore-vs-sunrisers-hyderabad-9th-match-598048/full-scorecard
"April 07, 2013, 7th match, Sunrisers vs RCB
Match tied (Sunrisers won the one-over eliminator)",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-royal-challengers-bangalore-7th-match-598004/full-scorecard
"April 05, 2013, 3rd match, Sunrisers vs Warriors
Sunrisers won by 22 runs",https://www.espncricinfo.com/series/indian-premier-league-2013-586733/sunrisers-hyderabad-vs-pune-warriors-3rd-match-598000/full-scorecard
