data,scorecard
"May 30, 2014, Qualifier 2, Super Kings vs Kings XI
Kings XI won by 24 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-kings-xi-punjab-qualifier-2-734047/full-scorecard
"May 28, 2014, Eliminator, Super Kings vs Mumbai
Super Kings won by 7 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/mumbai-indians-vs-chennai-super-kings-eliminator-734045/full-scorecard
"May 24, 2014, 53rd match, Super Kings vs RCB
Super Kings won by 8 wickets (with 14 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/royal-challengers-bangalore-vs-chennai-super-kings-53rd-match-734035/full-scorecard
"May 22, 2014, 50th match, Super Kings vs Sunrisers
Sunrisers won by 6 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-sunrisers-hyderabad-50th-match-734029/full-scorecard
"May 20, 2014, 47th match, Super Kings vs KKR
KKR won by 8 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023/full-scorecard
"May 18, 2014, 42nd match, Super Kings vs RCB
RCB won by 5 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-royal-challengers-bangalore-42nd-match-734013/full-scorecard
"May 13, 2014, 37th match, Super Kings vs Royals
Super Kings won by 5 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-rajasthan-royals-37th-match-734003/full-scorecard
"May 10, 2014, 33rd match, Super Kings vs Mumbai
Super Kings won by 4 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/mumbai-indians-vs-chennai-super-kings-33rd-match-733995/full-scorecard
"May 07, 2014, 29th match, Super Kings vs Kings XI
Kings XI won by 44 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-chennai-super-kings-29th-match-733987/full-scorecard
"May 05, 2014, 26th match, Super Kings vs Daredevils
Super Kings won by 8 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/delhi-daredevils-vs-chennai-super-kings-26th-match-733981/full-scorecard
"May 02, 2014, 21st match, Super Kings vs KKR
Super Kings won by 34 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-kolkata-knight-riders-21st-match-733971/full-scorecard
"April 27, 2014, 17th match, Super Kings vs Sunrisers
Super Kings won by 5 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-chennai-super-kings-17th-match-729311/full-scorecard
"April 25, 2014, 13th match, Super Kings vs Mumbai
Super Kings won by 7 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-mumbai-indians-13th-match-729303/full-scorecard
"April 23, 2014, 10th match, Super Kings vs Royals
Super Kings won by 7 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/rajasthan-royals-vs-chennai-super-kings-10th-match-729297/full-scorecard
"April 21, 2014, 8th match, Super Kings vs Daredevils
Super Kings won by 93 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-delhi-daredevils-8th-match-729293/full-scorecard
"April 18, 2014, 3rd match, Super Kings vs Kings XI
Kings XI won by 6 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-kings-xi-punjab-3rd-match-729283/full-scorecard
