data,scorecard
"June 01, 2014, Final, Kings XI vs KKR
KKR won by 3 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-kolkata-knight-riders-final-734049/full-scorecard
"May 30, 2014, Qualifier 2, Kings XI vs Super Kings
Kings XI won by 24 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-kings-xi-punjab-qualifier-2-734047/full-scorecard
"May 27, 2014, Qualifier 1, Kings XI vs KKR
KKR won by 28 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kolkata-knight-riders-vs-kings-xi-punjab-qualifier-1-734043/full-scorecard
"May 25, 2014, 55th match, Kings XI vs Daredevils
Kings XI won by 7 wickets (with 37 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-delhi-daredevils-55th-match-734039/full-scorecard
"May 23, 2014, 52nd match, Kings XI vs Royals
Kings XI won by 16 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033/full-scorecard
"May 21, 2014, 48th match, Kings XI vs Mumbai
Mumbai won by 7 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-mumbai-indians-48th-match-734025/full-scorecard
"May 19, 2014, 45th match, Kings XI vs Daredevils
Kings XI won by 4 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/delhi-daredevils-vs-kings-xi-punjab-45th-match-734019/full-scorecard
"May 14, 2014, 39th match, Kings XI vs Sunrisers
Kings XI won by 6 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007/full-scorecard
"May 11, 2014, 34th match, Kings XI vs KKR
KKR won by 9 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-kolkata-knight-riders-34th-match-733997/full-scorecard
"May 09, 2014, 31st match, Kings XI vs RCB
Kings XI won by 32 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-733991/full-scorecard
"May 07, 2014, 29th match, Kings XI vs Super Kings
Kings XI won by 44 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-chennai-super-kings-29th-match-733987/full-scorecard
"May 03, 2014, 22nd match, Kings XI vs Mumbai
Mumbai won by 5 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/mumbai-indians-vs-kings-xi-punjab-22nd-match-733973/full-scorecard
"April 28, 2014, 18th match, Kings XI vs RCB
Kings XI won by 5 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-royal-challengers-bangalore-18th-match-729313/full-scorecard
"April 26, 2014, 15th match, Kings XI vs KKR
Kings XI won by 23 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307/full-scorecard
"April 22, 2014, 9th match, Kings XI vs Sunrisers
Kings XI won by 72 runs",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295/full-scorecard
"April 20, 2014, 7th match, Kings XI vs Royals
Kings XI won by 7 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/rajasthan-royals-vs-kings-xi-punjab-7th-match-729291/full-scorecard
"April 18, 2014, 3rd match, Kings XI vs Super Kings
Kings XI won by 6 wickets (with 7 balls remaining)",https://www.espncricinfo.com/series/pepsi-indian-premier-league-2014-695871/chennai-super-kings-vs-kings-xi-punjab-3rd-match-729283/full-scorecard
