data,scorecard
"May 27, 2016, Qualifier 2, Guj Lions vs Sunrisers
Sunrisers won by 4 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-sunrisers-hyderabad-qualifier-2-981017/full-scorecard
"May 24, 2016, Qualifier 1, Guj Lions vs RCB
RCB won by 4 wickets (with 10 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/royal-challengers-bangalore-vs-gujarat-lions-qualifier-1-981013/full-scorecard
"May 21, 2016, 54th match, Guj Lions vs Mumbai
Guj Lions won by 6 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-mumbai-indians-54th-match-981007/full-scorecard
"May 19, 2016, 51st match, Guj Lions vs KKR
Guj Lions won by 6 wickets (with 39 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-kolkata-knight-riders-51st-match-981001/full-scorecard
"May 14, 2016, 44th match, Guj Lions vs RCB
RCB won by 144 runs",https://www.espncricinfo.com/series/ipl-2016-968923/royal-challengers-bangalore-vs-gujarat-lions-44th-match-980987/full-scorecard
"May 08, 2016, 38th match, Guj Lions vs KKR
Guj Lions won by 5 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/kolkata-knight-riders-vs-gujarat-lions-38th-match-980975/full-scorecard
"May 06, 2016, 34th match, Guj Lions vs Sunrisers
Sunrisers won by 5 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/sunrisers-hyderabad-vs-gujarat-lions-34th-match-980967/full-scorecard
"May 03, 2016, 31st match, Guj Lions vs Daredevils
Daredevils won by 8 wickets (with 16 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-delhi-daredevils-31st-match-980961/full-scorecard
"May 01, 2016, 28th match, Guj Lions vs Kings XI
Kings XI won by 23 runs",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-kings-xi-punjab-28th-match-980955/full-scorecard
"April 29, 2016, 25th match, Guj Lions vs Supergiants
Guj Lions won by 3 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-gujarat-lions-25th-match-980949/full-scorecard
"April 27, 2016, 23rd match, Guj Lions vs Daredevils
Guj Lions won by 1 run",https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-gujarat-lions-23rd-match-980945/full-scorecard
"April 24, 2016, 19th match, Guj Lions vs RCB
Guj Lions won by 6 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-royal-challengers-bangalore-19th-match-980937/full-scorecard
"April 21, 2016, 15th match, Guj Lions vs Sunrisers
Sunrisers won by 10 wickets (with 31 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-sunrisers-hyderabad-15th-match-980929/full-scorecard
"April 16, 2016, 9th match, Guj Lions vs Mumbai
Guj Lions won by 3 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-gujarat-lions-9th-match-980917/full-scorecard
"April 14, 2016, 6th match, Guj Lions vs Supergiants
Guj Lions won by 7 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-rising-pune-supergiants-6th-match-980911/full-scorecard
"April 11, 2016, 3rd match, Guj Lions vs Kings XI
Guj Lions won by 5 wickets (with 14 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/kings-xi-punjab-vs-gujarat-lions-3rd-match-980905/full-scorecard
