data,scorecard
"May 21, 2016, 54th match, Mumbai vs Guj Lions
Guj Lions won by 6 wickets (with 13 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-mumbai-indians-54th-match-981007/full-scorecard
"May 15, 2016, 47th match, Mumbai vs Daredevils
Mumbai won by 80 runs",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-delhi-daredevils-47th-match-980993/full-scorecard
"May 13, 2016, 43rd match, Mumbai vs Kings XI
Kings XI won by 7 wickets (with 18 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-kings-xi-punjab-43rd-match-980985/full-scorecard
"May 11, 2016, 41st match, Mumbai vs RCB
Mumbai won by 6 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/royal-challengers-bangalore-vs-mumbai-indians-41st-match-980981/full-scorecard
"May 08, 2016, 37th match, Mumbai vs Sunrisers
Sunrisers won by 85 runs",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-sunrisers-hyderabad-37th-match-980973/full-scorecard
"May 01, 2016, 29th match, Mumbai vs Supergiants
Mumbai won by 8 wickets (with 9 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-mumbai-indians-29th-match-980957/full-scorecard
"April 28, 2016, 24th match, Mumbai vs KKR
Mumbai won by 6 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-kolkata-knight-riders-24th-match-980947/full-scorecard
"April 25, 2016, 21st match, Mumbai vs Kings XI
Mumbai won by 25 runs",https://www.espncricinfo.com/series/ipl-2016-968923/kings-xi-punjab-vs-mumbai-indians-21st-match-980941/full-scorecard
"April 23, 2016, 17th match, Mumbai vs Daredevils
Daredevils won by 10 runs",https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-mumbai-indians-17th-match-980933/full-scorecard
"April 20, 2016, 14th match, Mumbai vs RCB
Mumbai won by 6 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-royal-challengers-bangalore-14th-match-980927/full-scorecard
"April 18, 2016, 12th match, Mumbai vs Sunrisers
Sunrisers won by 7 wickets (with 15 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/sunrisers-hyderabad-vs-mumbai-indians-12th-match-980923/full-scorecard
"April 16, 2016, 9th match, Mumbai vs Guj Lions
Guj Lions won by 3 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-gujarat-lions-9th-match-980917/full-scorecard
"April 13, 2016, 5th match, Mumbai vs KKR
Mumbai won by 6 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/kolkata-knight-riders-vs-mumbai-indians-5th-match-980909/full-scorecard
"April 09, 2016, 1st match, Mumbai vs Supergiants
Supergiants won by 9 wickets (with 32 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-rising-pune-supergiants-1st-match-980901/full-scorecard
