data,scorecard
"May 21, 2016, 53rd match, Supergiants vs Kings XI
Supergiants won by 4 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005/full-scorecard
"May 17, 2016, 49th match, Supergiants vs Daredevils
Supergiants won by 19 runs (D/L method)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-delhi-daredevils-49th-match-980997/full-scorecard
"May 14, 2016, 45th match, Supergiants vs KKR
KKR won by 8 wickets (with 24 balls remaining) (D/L method)",https://www.espncricinfo.com/series/ipl-2016-968923/kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989/full-scorecard
"May 10, 2016, 40th match, Supergiants vs Sunrisers
Sunrisers won by 4 runs",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979/full-scorecard
"May 07, 2016, 35th match, Supergiants vs RCB
RCB won by 7 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969/full-scorecard
"May 05, 2016, 33rd match, Supergiants vs Daredevils
Supergiants won by 7 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965/full-scorecard
"May 01, 2016, 29th match, Supergiants vs Mumbai
Mumbai won by 8 wickets (with 9 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-mumbai-indians-29th-match-980957/full-scorecard
"April 29, 2016, 25th match, Supergiants vs Guj Lions
Guj Lions won by 3 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-gujarat-lions-25th-match-980949/full-scorecard
"April 26, 2016, 22nd match, Supergiants vs Sunrisers
Supergiants won by 34 runs (D/L method)",https://www.espncricinfo.com/series/ipl-2016-968923/sunrisers-hyderabad-vs-rising-pune-supergiants-22nd-match-980943/full-scorecard
"April 24, 2016, 20th match, Supergiants vs KKR
KKR won by 2 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-kolkata-knight-riders-20th-match-980939/full-scorecard
"April 22, 2016, 16th match, Supergiants vs RCB
RCB won by 13 runs",https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-royal-challengers-bangalore-16th-match-980931/full-scorecard
"April 17, 2016, 10th match, Supergiants vs Kings XI
Kings XI won by 6 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919/full-scorecard
"April 14, 2016, 6th match, Supergiants vs Guj Lions
Guj Lions won by 7 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-rising-pune-supergiants-6th-match-980911/full-scorecard
"April 09, 2016, 1st match, Supergiants vs Mumbai
Supergiants won by 9 wickets (with 32 balls remaining)",https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-rising-pune-supergiants-1st-match-980901/full-scorecard
