data,scorecard
"May 21, 2017, Final, Supergiant vs Mumbai
Mumbai won by 1 run",https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-rising-pune-supergiant-final-1082650/full-scorecard
"May 16, 2017, Qualifier 1, Supergiant vs Mumbai
Supergiant won by 20 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-rising-pune-supergiant-qualifier-1-1082647/full-scorecard
"May 14, 2017, 55th match, Supergiant vs Kings XI
Supergiant won by 9 wickets (with 48 balls remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-kings-xi-punjab-55th-match-1082645/full-scorecard
"May 12, 2017, 52nd match, Supergiant vs Daredevils
Daredevils won by 7 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/delhi-daredevils-vs-rising-pune-supergiant-52nd-match-1082642/full-scorecard
"May 06, 2017, 44th match, Supergiant vs Sunrisers
Supergiant won by 12 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/sunrisers-hyderabad-vs-rising-pune-supergiant-44th-match-1082634/full-scorecard
"May 03, 2017, 41st match, Supergiant vs KKR
Supergiant won by 4 wickets (with 4 balls remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/kolkata-knight-riders-vs-rising-pune-supergiant-41st-match-1082631/full-scorecard
"May 01, 2017, 39th match, Supergiant vs Guj Lions
Supergiant won by 5 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-gujarat-lions-39th-match-1082629/full-scorecard
"April 29, 2017, 34th match, Supergiant vs RCB
Supergiant won by 61 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-royal-challengers-bangalore-34th-match-1082624/full-scorecard
"April 26, 2017, 30th match, Supergiant vs KKR
KKR won by 7 wickets (with 11 balls remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-kolkata-knight-riders-30th-match-1082620/full-scorecard
"April 24, 2017, 28th match, Supergiant vs Mumbai
Supergiant won by 3 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-rising-pune-supergiant-28th-match-1082618/full-scorecard
"April 22, 2017, 24th match, Supergiant vs Sunrisers
Supergiant won by 6 wickets (with 0 balls remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-sunrisers-hyderabad-24th-match-1082615/full-scorecard
"April 16, 2017, 17th match, Supergiant vs RCB
Supergiant won by 27 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/royal-challengers-bangalore-vs-rising-pune-supergiant-17th-match-1082607/full-scorecard
"April 14, 2017, 13th match, Supergiant vs Guj Lions
Guj Lions won by 7 wickets (with 12 balls remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/gujarat-lions-vs-rising-pune-supergiant-13th-match-1082603/full-scorecard
"April 11, 2017, 9th match, Supergiant vs Daredevils
Daredevils won by 97 runs",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-delhi-daredevils-9th-match-1082599/full-scorecard
"April 08, 2017, 4th match, Supergiant vs Kings XI
Kings XI won by 6 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/kings-xi-punjab-vs-rising-pune-supergiant-4th-match-1082594/full-scorecard
"April 06, 2017, 2nd match, Supergiant vs Mumbai
Supergiant won by 7 wickets (with 1 ball remaining)",https://www.espncricinfo.com/series/ipl-2017-1078425/rising-pune-supergiant-vs-mumbai-indians-2nd-match-1082592/full-scorecard
