data,scorecard
"October 07, 2021, 53rd Match, Punjab Kings vs Super Kings
Punjab Kings won by 6 wickets (with 42 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-punjab-kings-53rd-match-1254094/full-scorecard
"October 03, 2021, 48th Match, Punjab Kings vs RCB
RCB won by 6 runs",https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090/full-scorecard
"October 01, 2021, 45th Match, Punjab Kings vs KKR
Punjab Kings won by 5 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-punjab-kings-45th-match-1254102/full-scorecard
"September 28, 2021, 42nd Match, Punjab Kings vs Mumbai
Mumbai won by 6 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-punjab-kings-42nd-match-1254099/full-scorecard
"September 25, 2021, 37th Match, Punjab Kings vs Sunrisers
Punjab Kings won by 5 runs",https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-punjab-kings-37th-match-1254107/full-scorecard
"September 21, 2021, 32nd Match, Punjab Kings vs Royals
Royals won by 2 runs",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-rajasthan-royals-32nd-match-1254111/full-scorecard
"May 02, 2021, 29th Match, Punjab Kings vs Capitals
Capitals won by 7 wickets (with 14 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-delhi-capitals-29th-match-1254086/full-scorecard
"April 30, 2021, 26th Match, Punjab Kings vs RCB
Punjab Kings won by 34 runs",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083/full-scorecard
"April 26, 2021, 21st Match, Punjab Kings vs KKR
KKR won by 5 wickets (with 20 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-kolkata-knight-riders-21st-match-1254078/full-scorecard
"April 23, 2021, 17th Match, Punjab Kings vs Mumbai
Punjab Kings won by 9 wickets (with 14 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-mumbai-indians-17th-match-1254074/full-scorecard
"April 21, 2021, 14th Match, Punjab Kings vs Sunrisers
Sunrisers won by 9 wickets (with 8 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-sunrisers-hyderabad-14th-match-1254071/full-scorecard
"April 18, 2021, 11th Match, Punjab Kings vs Capitals
Capitals won by 6 wickets (with 10 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-punjab-kings-11th-match-1254068/full-scorecard
"April 16, 2021, 8th Match, Punjab Kings vs Super Kings
Super Kings won by 6 wickets (with 26 balls remaining)",https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-chennai-super-kings-8th-match-1254065/full-scorecard
"April 12, 2021, 4th Match, Punjab Kings vs Royals
Punjab Kings won by 4 runs",https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-punjab-kings-4th-match-1254061/full-scorecard
