data,scorecard
"May 21, 2022, 69th Match, Capitals vs Mumbai
Mumbai won by 5 wickets (with 5 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-delhi-capitals-69th-match-1304115/full-scorecard
"May 16, 2022, 64th Match, Capitals vs Punjab Kings
Capitals won by 17 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-delhi-capitals-64th-match-1304110/full-scorecard
"May 11, 2022, 58th Match, Capitals vs Royals
Capitals won by 8 wickets (with 11 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-delhi-capitals-58th-match-1304104/full-scorecard
"May 08, 2022, 55th Match, Capitals vs Super Kings
Super Kings won by 91 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-delhi-capitals-55th-match-1304101/full-scorecard
"May 05, 2022, 50th Match, Capitals vs Sunrisers
Capitals won by 21 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-sunrisers-hyderabad-50th-match-1304096/full-scorecard
"May 01, 2022, 45th Match, Capitals vs Super Giants
Super Giants won by 6 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-lucknow-super-giants-45th-match-1304091/full-scorecard
"April 28, 2022, 41st Match, Capitals vs KKR
Capitals won by 4 wickets (with 6 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-kolkata-knight-riders-41st-match-1304087/full-scorecard
"April 22, 2022, 34th Match, Capitals vs Royals
Royals won by 15 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-rajasthan-royals-34th-match-1304080/full-scorecard
"April 20, 2022, 32nd Match, Capitals vs Punjab Kings
Capitals won by 9 wickets (with 57 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-punjab-kings-32nd-match-1304078/full-scorecard
"April 16, 2022, 27th Match, Capitals vs RCB
RCB won by 16 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-royal-challengers-bangalore-27th-match-1304073/full-scorecard
"April 10, 2022, 19th Match, Capitals vs KKR
Capitals won by 44 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065/full-scorecard
"April 07, 2022, 15th Match, Capitals vs Super Giants
Super Giants won by 6 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-delhi-capitals-15th-match-1304061/full-scorecard
"April 02, 2022, 10th Match, Capitals vs Titans
Titans won by 14 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-delhi-capitals-10th-match-1304056/full-scorecard
"March 27, 2022, 2nd Match, Capitals vs Mumbai
Capitals won by 4 wickets (with 10 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-mumbai-indians-2nd-match-1304048/full-scorecard
