data,scorecard
"May 25, 2022, Eliminator, Super Giants vs RCB
RCB won by 14 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198/full-scorecard
"May 18, 2022, 66th Match, Super Giants vs KKR
Super Giants won by 2 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-lucknow-super-giants-66th-match-1304112/full-scorecard
"May 15, 2022, 63rd Match, Super Giants vs Royals
Royals won by 24 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-rajasthan-royals-63rd-match-1304109/full-scorecard
"May 10, 2022, 57th Match, Super Giants vs Titans
Titans won by 62 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-gujarat-titans-57th-match-1304103/full-scorecard
"May 07, 2022, 53rd Match, Super Giants vs KKR
Super Giants won by 75 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-kolkata-knight-riders-53rd-match-1304099/full-scorecard
"May 01, 2022, 45th Match, Super Giants vs Capitals
Super Giants won by 6 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-lucknow-super-giants-45th-match-1304091/full-scorecard
"April 29, 2022, 42nd Match, Super Giants vs Punjab Kings
Super Giants won by 20 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-lucknow-super-giants-42nd-match-1304088/full-scorecard
"April 24, 2022, 37th Match, Super Giants vs Mumbai
Super Giants won by 36 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-mumbai-indians-37th-match-1304083/full-scorecard
"April 19, 2022, 31st Match, Super Giants vs RCB
RCB won by 18 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-royal-challengers-bangalore-31st-match-1304077/full-scorecard
"April 16, 2022, 26th Match, Super Giants vs Mumbai
Super Giants won by 18 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-lucknow-super-giants-26th-match-1304072/full-scorecard
"April 10, 2022, 20th Match, Super Giants vs Royals
Royals won by 3 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-lucknow-super-giants-20th-match-1304066/full-scorecard
"April 07, 2022, 15th Match, Super Giants vs Capitals
Super Giants won by 6 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-delhi-capitals-15th-match-1304061/full-scorecard
"April 04, 2022, 12th Match, Super Giants vs Sunrisers
Super Giants won by 12 runs",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058/full-scorecard
"March 31, 2022, 7th Match, Super Giants vs Super Kings
Super Giants won by 6 wickets (with 3 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-chennai-super-kings-7th-match-1304053/full-scorecard
"March 28, 2022, 4th Match, Super Giants vs Titans
Titans won by 5 wickets (with 2 balls remaining)",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-lucknow-super-giants-4th-match-1304050/full-scorecard
