match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
Final,Royals,Super Kings,June 01,2008,Royals,3 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-rajasthan-royals-final-336040/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
1st Semi-Final,Royals,Daredevils,May 30,2008,Royals,105 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-rajasthan-royals-1st-semi-final-336038/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
56th match,Royals,Kings XI,May 28,2008,Kings XI,41 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-rajasthan-royals-56th-match-336019/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
53rd match,Royals,Mumbai,May 26,2008,Royals,5 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-mumbai-indians-53rd-match-336036/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
49th match,Royals,Super Kings,May 24,2008,Royals,10 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-rajasthan-royals-49th-match-336033/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
44th match,Royals,KKR,May 20,2008,Royals,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-rajasthan-royals-44th-match-336027/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
39th match,Royals,RCB,May 17,2008,Royals,65 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-royal-challengers-bangalore-39th-match-336023/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
33rd match,Royals,Daredevils,May 11,2008,Royals,3 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-delhi-daredevils-33rd-match-336015/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
30th match,Royals,Chargers,May 09,2008,Royals,8 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-deccan-chargers-30th-match-336011/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
27th match,Royals,Mumbai,May 07,2008,Mumbai,7 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/mumbai-indians-vs-rajasthan-royals-27th-match-336008/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
