match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
55th match,RCB,Mumbai,May 28,2008,Mumbai,9 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-mumbai-indians-55th-match-336012/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
51st match,RCB,Chargers,May 25,2008,RCB,5 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/deccan-chargers-vs-royal-challengers-bangalore-51st-match-336002/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
46th match,RCB,Super Kings,May 21,2008,RCB,14 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/chennai-super-kings-vs-royal-challengers-bangalore-46th-match-336029/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
43rd match,RCB,Daredevils,May 19,2008,Daredevils,5 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-delhi-daredevils-43rd-match-336026/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
39th match,RCB,Royals,May 17,2008,Royals,65 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/rajasthan-royals-vs-royal-challengers-bangalore-39th-match-336023/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
34th match,RCB,Kings XI,May 12,2008,Kings XI,9 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kings-xi-punjab-vs-royal-challengers-bangalore-34th-match-336016/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
29th match,RCB,KKR,May 08,2008,KKR,5 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/kolkata-knight-riders-vs-royal-challengers-bangalore-29th-match-336010/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
25th match,RCB,Kings XI,May 05,2008,Kings XI,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-kings-xi-punjab-25th-match-336006/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
21st match,RCB,Chargers,May 03,2008,RCB,3 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/royal-challengers-bangalore-vs-deccan-chargers-21st-match-336034/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
17th match,RCB,Daredevils,April 30,2008,Daredevils,10 runs,https://www.espncricinfo.com/series/indian-premier-league-2007-08-313494/delhi-daredevils-vs-royal-challengers-bangalore-17th-match-335998/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
