match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
Final,Chargers,RCB,May 24,2009,Chargers,6 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-royal-challengers-bangalore-final-392239/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
1st Semi-Final,Chargers,Daredevils,May 22,2009,Chargers,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-delhi-daredevils-1st-semi-final-392237/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
56th match,Chargers,RCB,May 21,2009,RCB,12 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/royal-challengers-bangalore-vs-deccan-chargers-56th-match-392236/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
49th match,Chargers,Kings XI,May 17,2009,Kings XI,1 run,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-kings-xi-punjab-49th-match-392229/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
48th match,Chargers,KKR,May 16,2009,Chargers,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-kolkata-knight-riders-48th-match-392228/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
43rd match,Chargers,Daredevils,May 13,2009,Daredevils,12 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-delhi-daredevils-43rd-match-392223/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
40th match,Chargers,Royals,May 11,2009,Chargers,53 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-rajasthan-royals-40th-match-392220/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
36th match,Chargers,Kings XI,May 09,2009,Kings XI,3 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-kings-xi-punjab-36th-match-392216/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
32nd match,Chargers,Mumbai,May 06,2009,Chargers,19 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-mumbai-indians-32nd-match-392212/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
29th match,Chargers,Super Kings,May 04,2009,Super Kings,78 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/chennai-super-kings-vs-deccan-chargers-29th-match-392209/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
25th match,Chargers,Royals,May 02,2009,Royals,3 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-rajasthan-royals-25th-match-392205/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
21st match,Chargers,Daredevils,April 30,2009,Daredevils,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-delhi-daredevils-21st-match-392201/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
16th match,Chargers,Super Kings,April 27,2009,Chargers,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/chennai-super-kings-vs-deccan-chargers-16th-match-392196/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
12th match,Chargers,Mumbai,April 25,2009,Chargers,12 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-mumbai-indians-12th-match-392192/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
8th match,Chargers,RCB,April 22,2009,Chargers,24 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/royal-challengers-bangalore-vs-deccan-chargers-8th-match-392188/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
4th match,Chargers,KKR,April 19,2009,Chargers,8 wickets,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-kolkata-knight-riders-4th-match-392184/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
