match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
64th match,Kochi,Super Kings,May 18,2011,Super Kings,11 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-kochi-tuskers-kerala-64th-match-501261/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
61st match,Kochi,Royals,May 15,2011,Kochi,8 wickets,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-rajasthan-royals-61st-match-501258/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
57th match,Kochi,Kings XI,May 13,2011,Kings XI,6 wickets,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-kings-xi-punjab-57th-match-501254/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
50th match,Kochi,RCB,May 08,2011,RCB,9 wickets,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kochi-tuskers-kerala-50th-match-501247/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
45th match,Kochi,KKR,May 05,2011,Kochi,17 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-kolkata-knight-riders-45th-match-501242/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
41st match,Kochi,Daredevils,May 02,2011,Kochi,7 wickets,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/delhi-daredevils-vs-kochi-tuskers-kerala-41st-match-501238/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
36th match,Kochi,Daredevils,April 30,2011,Daredevils,38 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-delhi-daredevils-36th-match-501233/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
32nd match,Kochi,Chargers,April 27,2011,Chargers,55 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kochi-tuskers-kerala-vs-deccan-chargers-32nd-match-501229/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
28th match,Kochi,Royals,April 24,2011,Royals,8 wickets,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/rajasthan-royals-vs-kochi-tuskers-kerala-28th-match-501225/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
22nd match,Kochi,KKR,April 20,2011,Kochi,6 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kolkata-knight-riders-vs-kochi-tuskers-kerala-22nd-match-501219/full-scorecard,https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
