match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
70th match,Warriors,KKR,May 19,2012,KKR,34 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-kolkata-knight-riders-70th-match-548375/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
60th match,Warriors,Royals,May 13,2012,Royals,45 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/rajasthan-royals-vs-pune-warriors-60th-match-548365/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
57th match,Warriors,RCB,May 11,2012,RCB,35 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-royal-challengers-bangalore-57th-match-548362/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
52nd match,Warriors,Royals,May 08,2012,Royals,7 wickets,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-rajasthan-royals-52nd-match-548358/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
47th match,Warriors,KKR,May 05,2012,KKR,7 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/kolkata-knight-riders-vs-pune-warriors-47th-match-548353/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
45th match,Warriors,Mumbai,May 03,2012,Mumbai,1 run,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-mumbai-indians-45th-match-548351/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
42nd match,Warriors,Chargers,May 01,2012,Chargers,13 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/deccan-chargers-vs-pune-warriors-42nd-match-548348/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
35th match,Warriors,Chargers,April 26,2012,Chargers,18 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-deccan-chargers-35th-match-548341/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
31st match,Warriors,Daredevils,April 24,2012,Daredevils,8 wickets,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/pune-warriors-vs-delhi-daredevils-31st-match-548337/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
27th match,Warriors,Daredevils,April 21,2012,Warriors,20 runs,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-pune-warriors-27th-match-548333/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
