match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
56th match,Daredevils,RCB,May 22,2016,RCB,6 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-royal-challengers-bangalore-56th-match-981011/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
52nd match,Daredevils,Sunrisers,May 20,2016,Daredevils,6 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-sunrisers-hyderabad-52nd-match-981003/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
49th match,Daredevils,Supergiants,May 17,2016,Supergiants,19 runs,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-delhi-daredevils-49th-match-980997/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png"
47th match,Daredevils,Mumbai,May 15,2016,Mumbai,80 runs,https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-delhi-daredevils-47th-match-980993/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
42nd match,Daredevils,Sunrisers,May 12,2016,Daredevils,7 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/sunrisers-hyderabad-vs-delhi-daredevils-42nd-match-980983/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
36th match,Daredevils,Kings XI,May 07,2016,Kings XI,9 runs,https://www.espncricinfo.com/series/ipl-2016-968923/kings-xi-punjab-vs-delhi-daredevils-36th-match-980971/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
33rd match,Daredevils,Supergiants,May 05,2016,Supergiants,7 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png"
31st match,Daredevils,Guj Lions,May 03,2016,Daredevils,8 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-delhi-daredevils-31st-match-980961/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
26th match,Daredevils,KKR,April 30,2016,Daredevils,27 runs,https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-kolkata-knight-riders-26th-match-980951/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
23rd match,Daredevils,Guj Lions,April 27,2016,Guj Lions,1 run,https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-gujarat-lions-23rd-match-980945/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
