match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
53rd match,Supergiants,Kings XI,May 21,2016,Supergiants,4 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-kings-xi-punjab-53rd-match-981005/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
49th match,Supergiants,Daredevils,May 17,2016,Supergiants,19 runs,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-delhi-daredevils-49th-match-980997/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
45th match,Supergiants,KKR,May 14,2016,KKR,8 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/kolkata-knight-riders-vs-rising-pune-supergiants-45th-match-980989/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
40th match,Supergiants,Sunrisers,May 10,2016,Sunrisers,4 runs,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-sunrisers-hyderabad-40th-match-980979/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
35th match,Supergiants,RCB,May 07,2016,RCB,7 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/royal-challengers-bangalore-vs-rising-pune-supergiants-35th-match-980969/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
33rd match,Supergiants,Daredevils,May 05,2016,Supergiants,7 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/delhi-daredevils-vs-rising-pune-supergiants-33rd-match-980965/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
29th match,Supergiants,Mumbai,May 01,2016,Mumbai,8 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-mumbai-indians-29th-match-980957/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
25th match,Supergiants,Guj Lions,April 29,2016,Guj Lions,3 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-gujarat-lions-25th-match-980949/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
22nd match,Supergiants,Sunrisers,April 26,2016,Supergiants,34 runs,https://www.espncricinfo.com/series/ipl-2016-968923/sunrisers-hyderabad-vs-rising-pune-supergiants-22nd-match-980943/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
20th match,Supergiants,KKR,April 24,2016,KKR,2 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-kolkata-knight-riders-20th-match-980939/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
16th match,Supergiants,RCB,April 22,2016,RCB,13 runs,https://www.espncricinfo.com/series/ipl-2016-968923/rising-pune-supergiants-vs-royal-challengers-bangalore-16th-match-980931/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
10th match,Supergiants,Kings XI,April 17,2016,Kings XI,6 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/kings-xi-punjab-vs-rising-pune-supergiants-10th-match-980919/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
6th match,Supergiants,Guj Lions,April 14,2016,Guj Lions,7 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/gujarat-lions-vs-rising-pune-supergiants-6th-match-980911/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png"
1st match,Supergiants,Mumbai,April 09,2016,Supergiants,9 wickets,https://www.espncricinfo.com/series/ipl-2016-968923/mumbai-indians-vs-rising-pune-supergiants-1st-match-980901/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
