match,team,opponent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
Eliminator,Sunrisers,Capitals,May 08,2019,Capitals,2 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-delhi-capitals-eliminator-1181766/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
54th Match,Sunrisers,RCB,May 04,2019,RCB,4 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/royal-challengers-bangalore-vs-sunrisers-hyderabad-54th-match-1178429/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
51st Match,Sunrisers,Mumbai,May 02,2019,Match tied (Mumbai won the one-over eliminator),,https://www.espncricinfo.com/series/ipl-2019-1165643/mumbai-indians-vs-sunrisers-hyderabad-51st-match-1178426/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
48th Match,Sunrisers,Kings XI,April 29,2019,Sunrisers,45 runs,https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
45th Match,Sunrisers,Royals,April 27,2019,Royals,7 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/rajasthan-royals-vs-sunrisers-hyderabad-45th-match-1178420/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
41st Match,Sunrisers,Super Kings,April 23,2019,Super Kings,6 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
38th Match,Sunrisers,KKR,April 21,2019,Sunrisers,9 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-kolkata-knight-riders-38th-match-1178413/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
33rd Match,Sunrisers,Super Kings,April 17,2019,Sunrisers,6 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-chennai-super-kings-33rd-match-1178408/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
30th Match,Sunrisers,Capitals,April 14,2019,Capitals,39 runs,https://www.espncricinfo.com/series/ipl-2019-1165643/sunrisers-hyderabad-vs-delhi-capitals-30th-match-1178405/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
22nd Match,Sunrisers,Kings XI,April 08,2019,Kings XI,6 wickets,https://www.espncricinfo.com/series/ipl-2019-1165643/kings-xi-punjab-vs-sunrisers-hyderabad-22nd-match-1178397/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
